[Connect DataFile][1.1]
Date:;30.06.2025
Time:;14:37:33,219
Unit:;C
Resolution:;0,0124812
Values:;6
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;Deformation;Area 15;
00:00:00,000;31,9;25,8;31,9;26,1;25,8;26,0;
00:00:00,012;32,1;25,8;32,1;26,1;25,9;26,1;
00:00:00,024;32,0;25,6;32,0;25,9;25,8;25,9;
00:00:00,037;31,9;25,9;31,9;26,0;25,9;25,9;
00:00:00,049;31,9;25,8;31,9;26,4;25,9;26,1;
00:00:00,062;25,8;25,8;32,0;26,1;25,9;26,1;
00:00:00,074;25,7;25,7;32,0;26,1;25,9;26,1;
00:00:00,087;25,7;25,7;32,2;26,3;25,9;26,1;
00:00:00,099;25,8;25,8;32,3;26,1;26,1;26,0;
00:00:00,112;25,8;25,8;32,0;25,9;25,9;25,9;
00:00:00,124;26,0;26,0;32,0;26,1;26,1;26,0;
00:00:00,137;26,1;26,1;32,0;26,2;26,2;26,1;
00:00:00,149;25,7;25,7;32,0;26,0;25,8;25,9;
00:00:00,162;25,7;25,7;32,0;25,9;25,9;25,9;
00:00:00,174;25,7;25,7;31,9;26,1;26,0;26,0;
00:00:00,187;25,6;25,6;31,9;25,9;25,9;25,9;
00:00:00,199;25,6;25,6;32,0;25,9;25,9;25,9;
00:00:00,212;25,7;25,7;31,8;26,1;26,1;25,9;
00:00:00,224;25,7;25,7;31,9;26,1;25,8;26,0;
00:00:00,237;25,6;25,6;32,0;26,1;25,9;26,1;
00:00:00,249;25,7;25,7;32,0;26,1;25,8;26,0;
00:00:00,262;28,8;25,7;32,0;26,1;25,8;26,1;
00:00:00,274;31,9;25,6;31,9;26,1;25,7;26,1;
00:00:00,287;31,9;25,6;31,9;26,2;25,9;26,0;
00:00:00,299;32,0;25,6;32,0;26,1;25,7;26,0;
00:00:00,312;32,0;25,8;32,0;26,1;25,9;25,9;
00:00:00,324;25,6;25,6;32,0;26,0;25,9;26,0;
00:00:00,336;25,7;25,7;31,8;25,9;25,8;25,9;
00:00:00,349;25,6;25,6;32,0;26,1;25,9;25,9;
00:00:00,361;25,6;25,6;32,1;26,0;25,8;26,0;
00:00:00,374;25,6;25,6;31,7;26,1;26,0;25,9;
00:00:00,386;25,6;25,6;31,7;26,1;26,0;25,9;
00:00:00,399;25,8;25,8;31,8;26,2;25,9;26,1;
