[Connect DataFile][1.1]
Date:;09.07.2025
Time:;13:40:42,668
Unit:;C
Resolution:;0,0125
Values:;4
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;
00:00:01,550;26,7;26,7;26,8;28,7;
00:00:01,562;26,9;26,9;26,6;28,7;
00:00:01,575;26,8;26,8;26,8;28,7;
00:00:01,587;26,9;26,9;26,6;28,5;
00:00:01,600;26,9;26,9;26,6;28,5;
00:00:01,612;26,8;26,8;26,8;28,4;
00:00:01,625;26,9;26,9;26,7;28,6;
00:00:01,637;26,9;26,9;26,9;28,6;
00:00:01,650;26,8;26,8;26,7;28,5;
00:00:01,662;26,8;26,8;26,8;28,7;
00:00:01,675;26,8;26,8;26,6;28,7;
00:00:01,687;26,9;26,9;26,7;28,6;
00:00:01,700;26,9;26,9;26,6;28,4;
00:00:01,712;27,1;27,1;26,7;28,6;
00:00:01,725;26,7;26,7;26,6;28,6;
00:00:01,737;26,9;26,9;26,9;28,7;
00:00:01,750;26,9;26,9;26,6;28,6;
00:00:01,762;26,8;26,8;26,6;28,4;
00:00:01,775;26,6;26,6;26,6;28,6;
00:00:01,787;26,7;26,7;26,6;28,6;
00:00:01,800;26,8;26,8;26,6;28,5;
00:00:01,812;26,7;26,7;26,5;28,3;
00:00:01,825;26,8;26,8;26,8;28,4;
00:00:01,837;26,9;26,9;26,6;28,6;
00:00:01,850;26,7;26,7;26,6;28,7;
00:00:01,862;26,9;26,9;26,6;28,4;
00:00:01,875;26,6;26,6;26,6;28,6;
00:00:01,887;26,8;26,8;26,6;28,6;
00:00:01,900;26,7;26,7;26,6;28,6;
00:00:01,912;26,7;26,7;26,6;28,6;
00:00:01,925;26,9;26,9;26,6;28,4;
00:00:01,937;26,8;26,8;26,5;28,6;
00:00:01,950;26,7;26,7;26,6;28,5;
00:00:01,962;26,6;26,6;26,6;28,6;
00:00:01,975;26,8;26,8;26,6;28,4;
00:00:01,987;26,9;26,9;26,6;28,5;
00:00:02,000;26,6;26,6;26,5;28,6;
00:00:02,012;26,7;26,7;26,6;28,3;
00:00:02,025;26,7;26,7;26,6;28,3;
00:00:02,037;26,7;26,7;26,6;28,6;
00:00:02,050;26,6;26,6;26,6;28,5;
00:00:02,062;26,6;26,6;26,6;28,3;
00:00:02,075;27,0;27,0;26,5;28,3;
00:00:02,087;27,0;27,0;26,5;28,3;
00:00:02,100;26,6;26,6;26,6;28,6;
00:00:02,112;26,7;26,7;26,6;28,3;
00:00:02,125;26,6;26,6;26,6;28,6;
00:00:02,137;26,7;26,7;26,6;28,4;
00:00:02,150;26,7;26,7;26,6;28,4;
00:00:02,162;26,9;26,9;26,6;28,6;
00:00:02,175;26,9;26,9;26,8;28,7;
00:00:02,187;26,6;26,6;26,9;28,5;
00:00:02,200;26,7;26,7;26,5;28,3;
00:00:02,212;26,7;26,7;26,5;28,3;
00:00:02,225;26,9;26,9;26,6;28,6;
00:00:02,237;26,7;26,7;26,9;28,7;
00:00:02,250;26,7;26,7;26,6;28,4;
00:00:02,262;26,9;26,9;26,6;28,4;
00:00:02,275;26,9;26,9;26,6;28,4;
00:00:02,287;26,6;26,6;26,6;28,4;
00:00:02,300;26,9;26,9;26,6;28,3;
00:00:02,312;26,9;26,9;26,7;28,4;
