[Connect DataFile][1.1]
Date:;10.09.2025
Time:;08:38:14,535
Unit:;C
Resolution:;0,0125
Values:;4
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;
00:00:00,000;65,9;28,2;30,8;65,9;
00:00:00,012;0,0;0,0;0,0;0,0;
00:00:00,025;0,0;0,0;0,0;0,0;
00:00:00,037;0,0;0,0;0,0;0,0;
00:00:00,050;0,0;0,0;0,0;0,0;
00:00:00,062;0,0;0,0;0,0;0,0;
00:00:00,075;0,0;0,0;0,0;0,0;
00:00:00,087;0,0;0,0;0,0;0,0;
00:00:00,100;0,0;0,0;0,0;0,0;
00:00:00,112;0,0;0,0;0,0;0,0;
00:00:00,125;0,0;0,0;0,0;0,0;
00:00:00,137;0,0;0,0;0,0;0,0;
00:00:00,150;0,0;0,0;0,0;0,0;
00:00:00,162;0,0;0,0;0,0;0,0;
00:00:00,175;0,0;0,0;0,0;0,0;
00:00:00,187;0,0;0,0;0,0;0,0;
00:00:00,200;0,0;0,0;0,0;0,0;
00:00:00,212;0,0;0,0;0,0;0,0;
00:00:00,225;0,0;0,0;0,0;0,0;
00:00:00,237;69,3;28,3;30,8;69,3;
00:00:00,250;69,3;28,3;30,8;69,3;
00:00:00,262;69,2;28,3;30,9;69,2;
00:00:00,275;69,1;28,3;31,1;69,1;
00:00:00,287;69,0;28,3;31,2;69,0;
00:00:00,300;69,0;28,5;31,1;69,0;
00:00:00,312;68,9;28,3;30,9;68,9;
00:00:00,325;68,8;28,3;30,8;68,8;
00:00:00,337;68,6;28,2;30,8;68,6;
00:00:00,350;68,4;28,3;30,9;68,4;
00:00:00,362;68,4;28,3;30,9;68,4;
00:00:00,375;68,4;28,3;30,9;68,4;
00:00:00,387;68,4;28,3;30,9;68,4;
00:00:00,400;68,4;28,3;30,9;68,4;
00:00:00,412;28,3;28,3;30,9;68,4;
00:00:00,425;28,3;28,3;30,9;68,4;
00:00:00,437;28,3;28,3;30,9;68,4;
00:00:00,450;68,4;28,3;30,9;68,4;
00:00:00,462;68,4;28,3;30,9;68,4;
00:00:00,475;68,4;28,3;30,9;68,4;
00:00:00,487;68,4;28,3;30,9;68,4;
00:00:00,500;68,4;28,3;30,9;68,4;
00:00:00,512;68,4;28,3;30,9;68,4;
00:00:00,525;68,4;28,3;30,9;68,4;
00:00:00,537;68,4;28,3;30,9;68,4;
00:00:00,550;28,3;28,3;30,9;68,4;
00:00:00,562;28,3;28,3;30,9;68,4;
00:00:00,575;28,3;28,3;30,9;68,4;
00:00:00,587;28,3;28,3;30,9;68,4;
00:00:00,600;28,3;28,3;30,9;68,4;
00:00:00,612;28,3;28,3;30,9;68,4;
00:00:00,625;28,3;28,3;30,9;68,4;
00:00:00,637;28,3;28,3;30,9;68,4;
00:00:00,650;28,3;28,3;30,9;68,4;
00:00:00,662;28,3;28,3;30,9;68,4;
00:00:00,675;28,3;28,3;30,9;68,4;
00:00:00,687;28,3;28,3;30,9;68,4;
00:00:00,700;28,3;28,3;30,9;68,4;
00:00:00,712;28,3;28,3;30,9;68,4;
00:00:00,725;28,3;28,3;30,9;68,4;
00:00:00,737;28,3;28,3;30,9;68,4;
00:00:00,750;28,3;28,3;30,9;68,4;
00:00:00,762;28,1;28,1;30,8;64,1;
00:00:00,775;28,1;28,1;30,8;63,9;
00:00:00,787;28,3;28,3;30,6;63,7;
00:00:00,800;28,2;28,2;30,7;63,5;
00:00:00,812;28,2;28,2;30,6;63,6;
00:00:00,825;28,2;28,2;30,8;63,5;
00:00:00,837;28,1;28,1;30,7;63,2;
00:00:00,850;28,3;28,3;30,8;63,1;
00:00:00,862;28,2;28,2;31,1;63,0;
00:00:00,875;28,1;28,1;30,8;63,0;
00:00:00,887;28,2;28,2;30,6;62,5;
00:00:00,900;28,0;28,0;30,8;63,0;
00:00:00,912;28,1;28,1;30,7;62,5;
00:00:00,925;28,1;28,1;30,5;62,1;
00:00:00,937;28,1;28,1;30,5;62,2;
00:00:00,950;28,1;28,1;30,6;61,9;
00:00:00,962;28,3;28,3;30,6;62,0;
00:00:00,975;28,2;28,2;30,8;61,9;
00:00:00,987;28,3;28,3;31,0;61,7;
00:00:01,000;28,3;28,3;30,6;61,3;
00:00:01,012;28,3;28,3;30,6;61,3;
00:00:01,025;28,3;28,3;31,1;61,3;
00:00:01,037;28,1;28,1;30,7;61,3;
00:00:01,050;28,1;28,1;30,6;61,2;
00:00:01,062;28,3;28,3;30,6;61,2;
00:00:01,075;28,3;28,3;30,6;61,2;
00:00:01,087;28,2;28,2;30,6;60,5;
00:00:01,100;28,3;28,3;30,8;60,5;
00:00:01,112;28,2;28,2;31,1;60,5;
00:00:01,125;28,3;28,3;30,6;60,5;
00:00:01,137;28,3;28,3;30,6;60,5;
00:00:01,150;28,4;28,4;30,6;60,1;
00:00:01,162;28,1;28,1;31,0;59,9;
00:00:01,175;28,1;28,1;30,9;59,9;
00:00:01,187;28,2;28,2;30,6;59,9;
00:00:01,200;28,5;28,5;30,6;59,6;
00:00:01,212;28,3;28,3;30,7;59,4;
00:00:01,225;28,3;28,3;30,9;59,5;
00:00:01,237;28,6;28,6;30,7;59,3;
00:00:01,250;28,2;28,2;30,8;59,6;
00:00:01,262;28,1;28,1;30,6;59,4;
00:00:01,275;28,2;28,2;30,7;59,1;
00:00:01,287;28,3;28,3;30,6;58,9;
00:00:01,300;28,3;28,3;30,7;58,7;
00:00:01,312;28,3;28,3;31,1;58,8;
00:00:01,325;28,3;28,3;30,8;58,7;
00:00:01,337;28,6;28,6;30,8;58,6;
00:00:01,350;28,6;28,6;30,8;58,5;
00:00:01,362;28,3;28,3;30,6;58,3;
00:00:01,375;28,3;28,3;31,0;58,4;
00:00:01,387;28,5;28,5;31,0;58,1;
00:00:01,400;28,3;28,3;31,0;57,9;
00:00:01,412;28,3;28,3;30,6;58,0;
00:00:01,425;28,5;28,5;31,1;57,9;
00:00:01,437;28,4;28,4;30,8;57,8;
00:00:01,450;28,2;28,2;30,7;57,8;
00:00:01,462;28,2;28,2;30,7;57,7;
00:00:01,475;28,3;28,3;30,9;57,4;
00:00:01,487;28,3;28,3;30,8;57,4;
00:00:01,500;28,5;28,5;31,0;57,8;
00:00:01,512;28,3;28,3;30,8;57,3;
00:00:01,525;28,5;28,5;30,6;57,1;
00:00:01,537;28,3;28,3;30,8;56,9;
00:00:01,550;28,4;28,4;31,0;57,5;
00:00:01,562;28,6;28,6;30,9;57,0;
00:00:01,575;28,2;28,2;30,6;56,8;
00:00:01,587;28,6;28,6;30,6;56,6;
00:00:01,600;28,2;28,2;30,9;56,4;
00:00:01,612;28,3;28,3;30,8;56,4;
00:00:01,625;28,4;28,4;30,7;56,3;
00:00:01,637;28,3;28,3;30,6;56,2;
00:00:01,650;28,3;28,3;30,6;56,3;
00:00:01,662;28,3;28,3;30,6;56,1;
00:00:01,675;28,3;28,3;31,0;56,1;
00:00:01,687;28,3;28,3;30,9;55,9;
00:00:01,700;29,0;29,0;31,1;55,8;
00:00:01,712;28,3;28,3;30,9;55,6;
00:00:01,725;28,3;28,3;30,7;55,8;
00:00:01,737;28,3;28,3;30,8;55,9;
00:00:01,750;28,3;28,3;30,7;55,5;
00:00:01,762;28,5;28,5;30,7;55,7;
00:00:01,775;28,3;28,3;30,7;55,4;
00:00:01,787;28,4;28,4;30,6;55,2;
00:00:01,800;28,5;28,5;30,8;55,1;
00:00:01,812;28,4;28,4;30,7;55,5;
00:00:01,825;28,3;28,3;30,6;55,3;
00:00:01,837;28,4;28,4;30,7;54,9;
00:00:01,850;28,4;28,4;30,7;54,7;
00:00:01,862;28,3;28,3;30,9;54,6;
00:00:01,875;28,6;28,6;31,1;54,7;
00:00:01,887;28,5;28,5;30,6;54,5;
00:00:01,900;28,7;28,7;30,6;54,5;
00:00:01,912;28,4;28,4;30,8;54,7;
00:00:01,925;28,6;28,6;30,8;54,2;
00:00:01,937;28,3;28,3;30,8;54,1;
00:00:01,950;28,4;28,4;30,8;54,2;
00:00:01,962;28,3;28,3;30,6;54,4;
00:00:01,975;28,7;28,7;30,7;54,2;
00:00:01,987;28,3;28,3;30,9;54,1;
00:00:02,000;28,6;28,6;30,8;54,0;
00:00:02,012;28,3;28,3;30,8;54,0;
00:00:02,025;28,3;28,3;30,8;54,0;
